cik,company,event_seq,event_date,edgar_date,lopucki_date,date_discrepancy_days,intra_event_spread_days,source,chapter,sic,is_primary_filer,n_filings
1180743,"CERAGENIX PHARMACEUTICALS, INC.",1,2010-06-03,2010-06-03,,,0,8K_FTS+8K_SUBMISSIONS,,3841,1,2
1181232,"Sirva, Inc.",1,2008-02-05,2008-02-11,2008-02-05,6,94,8K_SUBMISSIONS+LOPUCKI,11,4213,1,3
11821,"Best Products Company, Inc. (1996)",1,1996-09-24,,1996-09-24,,0,LOPUCKI,11,5999,1,1
1183765,"Molecular Templates, Inc.",1,2025-04-24,2025-04-24,,,0,8K_FTS+8K_SUBMISSIONS,,2834,1,2
11860,Bethlehem Steel Corp,1,2001-10-15,,2001-10-15,,0,LOPUCKI,11,3312,1,1
1192069,"PPJ ENTERPRISE, INC.",1,2008-07-14,2008-07-14,,,0,8K_SUBMISSIONS,,7389.0,1,1
1201259,"Performing Brands, Inc.",1,2008-12-19,2008-12-19,,,0,8K_SUBMISSIONS,,2086.0,1,1
1202963,ENERGYTEC INC,1,2009-07-02,2009-07-02,,,0,8K_FTS+8K_SUBMISSIONS,,1311,1,2
1203957,BIONOVO INC,1,2012-11-01,2012-11-01,,,0,8K_FTS+8K_SUBMISSIONS,,2834,1,2
1204853,TMT CAPITAL CORP,1,2007-06-26,2007-06-26,,,0,8K_SUBMISSIONS,,4813.0,1,1
1205181,IMAGING3 INC  (GPFT),1,2012-09-20,2012-09-20,,,300,8K_FTS+8K_SUBMISSIONS,,3844,1,4
1205181,IMAGING3 INC  (GPFT),2,2017-01-19,2017-01-19,,,21,8K_FTS+8K_SUBMISSIONS,,3844,1,4
1207070,FRANKLIN BANK CORP,1,2008-11-10,2008-11-10,2008-11-12,-2,3,8K_SUBMISSIONS+LOPUCKI,7,6036.0,1,3
1208261,IMMUNE PHARMACEUTICALS INC,1,2019-03-08,2019-03-08,,,0,8K_FTS+8K_SUBMISSIONS,,2834,1,2
12105,"Big V Supermarkets, Inc.",1,2000-11-22,,2000-11-22,,0,LOPUCKI,11,5411,1,1
1210618,"SPI Energy Co., Ltd.  (SPIEF)",1,2025-09-17,2025-09-17,,,0,8K_FTS+8K_SUBMISSIONS,,3674,1,2
1210936,EASY GARDENER PRODUCTS LTD,1,2006-04-20,2006-04-20,,,0,8K_SUBMISSIONS,,2870.0,1,1
1211351,"RTW Retailwinds, Inc.",1,2020-07-13,2020-07-13,2020-07-13,0,157,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,5621,1,5
1211805,TOPSPIN MEDICAL INC  (MYSZ),1,2010-07-13,2010-07-13,,,0,8K_FTS+8K_SUBMISSIONS,,3845,1,2
1216462,"Republic Engineered Products Holdings, LLC (2003)",1,2003-10-06,,2003-10-06,,0,LOPUCKI,11,3312,1,1
1216596,NORTEK INC,1,2009-10-22,2009-10-22,,,0,8K_FTS+8K_SUBMISSIONS,,3634,1,2
1216964,SILVER STAR ENERGY INC,1,2007-06-08,2007-06-08,,,0,8K_SUBMISSIONS,,1311.0,1,1
1216997,FREEDOM BANCSHARES INC,1,2009-03-12,2009-03-12,,,0,8K_FTS+8K_SUBMISSIONS,,6022,1,2
1219584,"Smart Comm International, Ltd.",1,2008-05-16,2008-05-16,,,0,8K_SUBMISSIONS,,3669.0,1,1
1220754,ModivCare Inc  (MODV),1,2025-08-21,2025-08-21,,,130,8K_FTS+8K_SUBMISSIONS,,4700,1,4
1221354,MARCO COMMUNITY BANCORP INC,1,2010-02-25,2010-02-25,,,0,8K_FTS+8K_SUBMISSIONS,,6035,1,2
1223389,CONNS INC  (CONNQ),1,2024-07-25,2024-07-25,,,0,8K_FTS+8K_SUBMISSIONS,,5731,1,2
1224923,Colorado 2002A Limited Partnership,1,2013-09-18,2013-09-18,,,460,8K_FTS+8K_SUBMISSIONS,,1382,1,6
1226932,TRUMP CASINO HOLDINGS LLC,1,2004-11-24,2004-11-24,,,138,8K_SUBMISSIONS,,7011.0,1,2
1226933,TRUMP CASINO FUNDING INC,1,2004-11-24,2004-11-24,,,138,8K_SUBMISSIONS,,,1,2
1230355,"BAXANO SURGICAL, INC.",1,2014-11-14,2014-11-14,,,0,8K_FTS+8K_SUBMISSIONS,,3841,1,2
1232229,SYNTAX-BRILLIAN CORP,1,2008-07-08,2008-07-08,2008-07-08,0,0,8K_SUBMISSIONS+LOPUCKI,11,3663.0,1,2
1234383,BANK HOLDINGS,1,2010-06-24,2010-06-24,2010-12-30,-189,189,8K_FTS+8K_SUBMISSIONS+LOPUCKI,7,6022,1,3
1235091,PSB GROUP INC,1,2011-02-14,2011-02-14,,,0,8K_FTS+8K_SUBMISSIONS,,6021,1,2
12355,BLACK & DECKER CORP,1,2004-11-04,2004-11-04,,,0,8K_SUBMISSIONS,,3540.0,1,1
1236038,REDENVELOPE INC,1,2008-04-18,2008-04-18,,,0,8K_SUBMISSIONS,,5940.0,1,1
1236309,"Luminent Mortgage Capital, Inc.",1,2008-09-05,2008-09-08,2008-09-05,3,304,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,6798,1,4
1237941,"Hayes Lemmerz International, Inc. (2009)",1,2009-05-11,2009-05-15,2009-05-11,4,4,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,3714,1,3
1238289,ATLAS AMERICA PUBLIC #12-2003 Limited Partnership,1,2016-07-28,2016-07-28,,,0,8K_FTS+8K_SUBMISSIONS,,1311,1,2
1238631,CURATIVE HEALTH SERVICES INC,1,2006-03-27,2006-03-27,,,0,8K_SUBMISSIONS,,8093.0,1,1
1239819,LUNA INNOVATIONS INC  (LUNA),1,2009-07-17,2009-07-17,,,182,8K_FTS+8K_SUBMISSIONS,,8731,1,4
1239819,LUNA INNOVATIONS INC,2,2020-12-03,2020-12-03,,,0,8K_SUBMISSIONS,,8731.0,1,1
1240722,SOLOMON TECHNOLOGIES INC,1,2010-09-30,2010-09-30,,,0,8K_FTS+8K_SUBMISSIONS,,3621,1,2
1243800,RAINIER PACIFIC FINANCIAL GROUP INC,1,2010-03-01,2010-03-01,,,93,8K_FTS+8K_SUBMISSIONS,,6022,1,4
1243800,RAINIER PACIFIC FINANCIAL GROUP INC,2,2013-01-28,2013-01-28,,,0,8K_FTS+8K_SUBMISSIONS,,6022,1,2
1253710,"CANO PETROLEUM, INC",1,2012-03-13,2012-03-13,,,129,8K_FTS+8K_SUBMISSIONS,,1311,1,4
1254699,"QVC Group, Inc.",1,2026-04-17,2026-04-17,,,98,8K_SUBMISSIONS,,5961.0,1,2
1255474,WHITING PETROLEUM CORP,1,2020-04-01,2020-04-01,2020-04-01,0,138,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1311,1,5
1256536,American Home Mortgage Investment Corp.,1,2007-08-06,2007-08-09,2007-08-06,3,3,8K_SUBMISSIONS+LOPUCKI,11,6798,1,2
12570,LEXINGTON PRECISION CORP,1,2008-04-03,2008-04-03,,,0,8K_SUBMISSIONS,,3060.0,1,1
1259550,LOCAL Corp,1,2015-06-24,2015-06-24,,,0,8K_FTS+8K_SUBMISSIONS,,7389,1,2
1261482,DISTRIBUTED ENERGY SYSTEMS CORP,1,2008-06-06,2008-06-06,,,0,8K_SUBMISSIONS,,4911.0,1,1
1262751,GRYPHON GOLD CORP,1,2013-08-01,2013-08-01,,,0,8K_FTS+8K_SUBMISSIONS,,1040,1,2
1265107,"Monitronics International, Inc.",1,2019-06-30,2019-07-01,2019-06-30,1,67,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,7380,1,7
1265572,KONA GRILL INC,1,2019-05-01,2019-05-01,,,0,8K_FTS+8K_SUBMISSIONS,,5812,1,2
1266604,CCH II LLC,1,2009-03-27,2009-03-27,,,0,8K_FTS+8K_SUBMISSIONS,,4841,1,2
1266605,CCH II CAPITAL CORP,1,2009-03-27,2009-03-27,,,0,8K_FTS+8K_SUBMISSIONS,,4841,1,2
1268984,"Reddy Ice Holdings, Inc.",1,2012-04-12,2012-04-17,2012-04-12,5,43,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,2090,1,5
1269022,ATOMIC PAINTBALL INC,1,2009-06-29,2009-06-29,,,207,8K_FTS+8K_SUBMISSIONS,,7900,1,6
1270597,MERISANT CO,1,2009-01-15,2009-01-15,,,0,8K_FTS+8K_SUBMISSIONS,,2860,1,2
1271833,CCO HOLDINGS LLC,1,2009-03-27,2009-03-27,,,241,8K_FTS+8K_SUBMISSIONS,,4841,1,4
1271834,CCO HOLDINGS CAPITAL CORP,1,2009-03-27,2009-03-27,,,241,8K_FTS+8K_SUBMISSIONS,,4841,1,4
1274032,"Simply, Inc.",1,2022-06-16,2022-06-16,,,0,8K_FTS+8K_SUBMISSIONS,,5065,1,2
1274563,HELICOS BIOSCIENCES CORP,1,2012-11-15,2012-11-15,,,0,8K_FTS+8K_SUBMISSIONS,,2834,1,2
1275211,Simmons Company,1,2009-11-16,,2009-11-16,,0,LOPUCKI,11,2511,1,1
1275229,"General Moly, Inc",1,2020-11-20,2020-11-20,,,0,8K_FTS+8K_SUBMISSIONS,,1000,1,2
1275712,"GSE Holding, Inc.",1,2014-05-05,2014-05-05,,,85,8K_FTS+8K_SUBMISSIONS,,3081,1,4
1276476,MORRIS PUBLISHING FINANCE CO,1,2010-01-20,2010-01-20,,,30,8K_FTS+8K_SUBMISSIONS,,2711,1,6
1276477,MORRIS PUBLISHING GROUP LLC,1,2010-01-20,2010-01-20,,,30,8K_FTS+8K_SUBMISSIONS,,2711,1,6
1277250,Care Enterprises Inc.,1,1988-03-28,,1988-03-28,,0,LOPUCKI,11,8051,1,1
1277250,"Charge Enterprises, Inc.",2,2024-03-12,2024-03-12,,,49,8K_FTS+8K_SUBMISSIONS,,4822,1,4
1279676,PRIMUS TELECOMMUNICATIONS HOLDING INC,1,2009-03-16,2009-03-16,,,74,8K_FTS+8K_SUBMISSIONS,,4813,1,8
1279831,GIGABEAM CORP,1,2009-09-04,2009-09-04,,,0,8K_FTS+8K_SUBMISSIONS,,3663,1,2
1281774,TOWN SPORTS INTERNATIONAL HOLDINGS INC,1,2020-09-14,2020-09-14,2020-09-14,0,0,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,7997,1,3
1281922,Triangle Petroleum Corp. (Triangle USA Petroleum Corp. only),1,2016-06-29,2016-06-30,2016-06-29,1,1,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1311,1,3
1281984,"Decentral Life, Inc.",1,2014-06-27,2014-06-27,,,0,8K_SUBMISSIONS,,6199.0,1,1
1282266,"Windstream Holdings, Inc. (Windstream Services, LLC)",1,2019-02-25,2019-02-28,2019-02-25,3,3,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,4813,1,3
1282266,"WINDSTREAM HOLDINGS, INC.",2,2020-07-01,2020-07-01,,,83,8K_FTS+8K_SUBMISSIONS,,4813,1,4
1282543,AFFIRMATIVE INSURANCE HOLDINGS INC,1,2015-09-17,2015-09-17,,,28,8K_FTS+8K_SUBMISSIONS,,6331,1,4
1282607,COLONY RESORTS LVH ACQUISITIONS LLC,1,2012-01-12,2012-01-12,,,21,8K_FTS+8K_SUBMISSIONS,,7011,1,4
1282613,AMERICAN EAGLE ENERGY Corp,1,2015-05-12,2015-05-12,,,203,8K_FTS+8K_SUBMISSIONS,,1000,1,8
1282648,Halcon Resources Corporation,1,2016-07-27,2016-07-28,2016-07-27,1,44,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1311,1,5
1282648,HALCON RESOURCES CORP  (BATL),2,2019-08-07,2019-08-07,2019-08-07,0,50,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1311,1,5
1283552,JACKSON HEWITT TAX SERVICE INC,1,2011-05-24,2011-05-24,2011-05-24,0,84,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,7200,1,7
1283664,"Merisant Worldwide, Inc.",1,2009-01-09,2009-01-15,2009-01-09,6,6,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,2860,1,3
1283683,HomeBanc Corp.,1,2007-08-09,2007-08-15,2007-08-09,6,6,8K_SUBMISSIONS+LOPUCKI,11,6798,1,2
1283810,ATLAS AMERICA SERIES 25-2004 (A) L.P.,1,2016-07-28,2016-07-28,,,0,8K_FTS+8K_SUBMISSIONS,,1311,1,2
1283843,"Emerald Oil, Inc.",1,2016-03-22,2016-03-23,2016-03-22,1,1,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1311,1,3
1284453,VISUAL MANAGEMENT SYSTEMS INC,1,2010-11-10,2010-11-10,,,0,8K_FTS+8K_SUBMISSIONS,,3669,1,2
1285043,"Aventine Renewable Energy Holdings, Inc.",1,2009-04-07,2009-04-13,2009-04-07,6,329,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,2860,1,5
1285169,PROTECTIVE LIFE SECURED TRUST 2003-1,1,2004-11-30,2004-11-30,,,541,8K_SUBMISSIONS,,6189.0,1,4
1285206,"SVI Media, Inc.",1,2007-12-10,2007-12-10,,,0,8K_SUBMISSIONS,,4813.0,1,1
1285506,PROTECTIVE LIFE SECURED TRUST 2004 10,1,2004-09-17,2004-09-17,,,0,8K_SUBMISSIONS,,6311.0,1,1
1285507,PROTECTIVE LIFE SECURED TRUST 2004 11,1,2004-09-17,2004-09-17,,,0,8K_SUBMISSIONS,,6311.0,1,1
1285508,PROTECTIVE LIFE SECURED TRUST 2004 12,1,2004-09-17,2004-09-17,,,0,8K_SUBMISSIONS,,6311.0,1,1
1285509,PROTECTIVE LIFE SECURED TRUST 2004 13,1,2004-09-17,2004-09-17,,,0,8K_SUBMISSIONS,,6311.0,1,1
1285510,PROTECTIVE LIFE SECURED TRUST 2004 14,1,2004-09-17,2004-09-17,,,0,8K_SUBMISSIONS,,6311.0,1,1
1285511,PROTECTIVE LIFE SECURED TRUST 2004 15,1,2004-09-17,2004-09-17,,,0,8K_SUBMISSIONS,,6311.0,1,1
1285512,PROTECTIVE LIFE SECURED TRUST 2004 16,1,2004-09-17,2004-09-17,,,0,8K_SUBMISSIONS,,6311.0,1,1
1285513,PROTECTIVE LIFE SECURED TRUST 2004 17,1,2004-09-17,2004-09-17,,,0,8K_SUBMISSIONS,,6311.0,1,1
1285658,PROTECTIVE LIFE SECURED TRUST 2004 19,1,2004-10-22,2004-10-22,,,0,8K_SUBMISSIONS,,6311.0,1,1
1285661,PROTECTIVE LIFE SECURED TRUST 2004 18,1,2004-10-22,2004-10-22,,,0,8K_SUBMISSIONS,,6311.0,1,1
1286060,PROTECTIVE LIFE SECURED TRUST 2004-A,1,2004-10-04,2004-10-04,,,0,8K_SUBMISSIONS,,6311.0,1,1
1286305,PROTECTIVE LIFE SECURED TRUST 2004-21,1,2004-10-22,2004-10-22,,,0,8K_SUBMISSIONS,,6311.0,1,1
1286306,PROTECTIVE LIFE SECURED TRUST 2004-20,1,2004-10-22,2004-10-22,,,0,8K_SUBMISSIONS,,6311.0,1,1
1286382,PREMIER ENTERTAINMENT BILOXI LLC,1,2006-09-19,2006-09-19,2006-09-19,0,0,8K_SUBMISSIONS+LOPUCKI,11,7990.0,1,2
1286546,PREMIER FINANCE BILOXI CORP,1,2006-09-19,2006-09-19,,,0,8K_SUBMISSIONS,,,1,1
1287008,PROTECTIVE LIFE SECURED TRUST 2004-23,1,2004-10-22,2004-10-22,,,0,8K_SUBMISSIONS,,6311.0,1,1
1287009,PROTECTIVE LIFE SECURED TRUST 2004-22,1,2004-10-22,2004-10-22,,,0,8K_SUBMISSIONS,,6311.0,1,1
1287151,XERIUM TECHNOLOGIES INC,1,2010-03-30,2010-03-30,2010-03-30,0,0,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,2221,1,3
1287286,New Century Financial Corporation,1,2007-04-02,2007-04-06,2007-04-02,4,4,8K_SUBMISSIONS+LOPUCKI,11,6798,1,2
1287900,RANCHER ENERGY CORP.,1,2009-10-29,2009-10-29,,,490,8K_FTS+8K_SUBMISSIONS,,1311,1,10
1287900,RANCHER ENERGY CORP.,2,2012-06-28,2012-06-28,,,84,8K_FTS+8K_SUBMISSIONS,,1311,1,6
1287928,PROTECTIVE LIFE SECURED TRUST 2004-25,1,2004-10-22,2004-10-22,,,0,8K_SUBMISSIONS,,6311.0,1,1
1287929,PROTECTIVE LIFE SECURED TRUST 2004-24,1,2004-10-22,2004-10-22,,,0,8K_SUBMISSIONS,,6311.0,1,1
1288359,OTELCO INC.,1,2013-03-25,2013-03-25,,,60,8K_FTS+8K_SUBMISSIONS,,4813,1,6
1288946,SOUTH TEXAS OIL CO,1,2009-10-30,2009-10-30,,,0,8K_FTS+8K_SUBMISSIONS,,1311,1,2
1289370,MetaMorphix Inc.,1,2010-10-22,2010-10-22,,,150,8K_FTS+8K_SUBMISSIONS,,2834,1,4
1289480,"Real Mex Restaurants, Inc.",1,2011-10-04,2011-10-04,2011-10-04,0,0,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,5810,1,3
1289701,"Mercantile Bancorp, Inc.",1,2013-06-27,,2013-06-27,,0,LOPUCKI,11,6021,1,1
1289871,MPC Corporation,1,2008-11-06,2008-11-07,2008-11-06,1,55,8K_SUBMISSIONS+LOPUCKI,11,7372,1,3
1289871,MPC CORP,2,2011-03-14,2011-03-14,,,0,8K_FTS+8K_SUBMISSIONS,,7372,1,2
1290906,Protective Life Secured Trust 2004-27,1,2004-11-19,2004-11-19,,,0,8K_SUBMISSIONS,,6311.0,1,1
1290935,PROTECTIVE LIFE SECURED TRUST 2004-26,1,2004-11-19,2004-11-19,,,0,8K_SUBMISSIONS,,6311.0,1,1
1291723,Protective life Secured Trust 2004-28,1,2004-11-19,2004-11-19,,,0,8K_SUBMISSIONS,,6311.0,1,1
1291727,PROTECTIVE LIFE SECURED TRUST 2004-29,1,2004-11-19,2004-11-19,,,0,8K_SUBMISSIONS,,6311.0,1,1
1291983,Baseline Oil & Gas Corp.,1,2009-08-31,2009-08-31,,,31,8K_FTS+8K_SUBMISSIONS,,1311,1,6
1292519,INVIVO THERAPEUTICS HOLDINGS CORP.,1,2024-02-01,2024-02-01,,,0,8K_FTS+8K_SUBMISSIONS,,3841,1,2
1292731,"Buffets Holdings, Inc.",1,2008-01-22,2008-01-25,2008-01-22,3,3,8K_SUBMISSIONS+LOPUCKI,11,5812,1,2
1292731,"BUFFETS HOLDINGS, INC.",2,2009-04-28,2009-04-28,,,0,8K_FTS+8K_SUBMISSIONS,,5812,1,2
1293273,Protective Life Secured Trust 2004-30,1,2004-12-17,2004-12-17,,,0,8K_SUBMISSIONS,,6311.0,1,1
1293274,Protective Life Secured Trust 2004-31,1,2004-12-17,2004-12-17,,,0,8K_SUBMISSIONS,,6311.0,1,1
1293310,KALOBIOS PHARMACEUTICALS INC,1,2015-12-30,2015-12-30,,,175,8K_FTS+8K_SUBMISSIONS,,2834,1,4
1293310,"HUMANIGEN, INC",2,2024-01-08,2024-01-08,,,0,8K_FTS+8K_SUBMISSIONS,,2834,1,2
1294208,ATLAS AMERICA SERIES 25-2004 (B) L.P.,1,2016-07-28,2016-07-28,,,0,8K_FTS+8K_SUBMISSIONS,,1311,1,2
1294250,"Rand Logistics, Inc.",1,2018-01-30,2018-01-30,,,30,8K_FTS+8K_SUBMISSIONS,,4400,1,4
1294371,"CALPINE GENERATING COMPANY, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,4911.0,1,1
1294377,CALGEN FINANCE CORP,1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,4911.0,1,1
1294382,"CalGen Expansion Company, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294386,"Baytown Energy Center, LP",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294392,"Calpine Baytown Energy Center GP, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294395,"Calpine Baytown Energy Center LP, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294401,"Baytown Power GP, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294409,"Baytown Power, LP",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294416,Carville Energy LLC,1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294424,"Channel Energy Center, LP",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294428,"Calpine Channel Energy Center GP, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294440,"Calpine Channel Energy Center LP, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294450,"Channel Power GP, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294453,"Channel Power, LP",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294455,Columbia Energy LLC,1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294457,Corpus Christi Cogeneration LP,1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294460,Nueces Bay Energy LLC,1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294465,"Calpine Northbrook Southcoast Investors, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294469,"Calpine Corpus Christi Energy GP, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294470,"Calpine Corpus Christi Energy, LP",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294474,"Decatur Energy Center, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294476,Atlas America Public #14-2004 L.P.,1,2016-07-28,2016-07-28,,,0,8K_FTS+8K_SUBMISSIONS,,1311,1,2
1294478,"Delta Energy Center, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294480,Calpine Power Equipment LP,1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294481,Freestone Power Generation LP,1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294488,"CalGen Project Equipment Finance CO Two, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294505,"Calpine Freestone, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294511,"CPN Freestone, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294520,"Calpine Freestone Energy GP, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294535,"Calpine Freestone Energy, LP",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294543,Los Medanos Energy Center LLC,1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294570,"CalGen Project Equipment Finance CO One, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294814,"Morgan Energy Center, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294816,Pastoria Energy Facility L.L.C.,1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294817,"Calpine Pastoria Holdings, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294824,"Calpine Oneta Power, L.P.",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294830,"Calpine Oneta Power I, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294831,"Calpine Oneta Power II, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294836,Zion Energy LLC,1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294846,"CalGen Project Equipment Finance CO Three, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294853,"CalGen Equipment Finance Holdings, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1294855,"CalGen Equipment Finance Company, LLC",1,2005-12-23,2005-12-23,,,0,8K_SUBMISSIONS,,,1,1
1295879,CommunitySouth Financial CORP,1,2011-01-24,2011-01-24,,,0,8K_FTS+8K_SUBMISSIONS,,6021,1,2
1295967,Protective Life Secured Trust 2004-33,1,2004-09-17,2004-09-17,,,91,8K_SUBMISSIONS,,6311.0,1,4
1296391,TENGION INC,1,2014-12-29,2014-12-29,,,0,8K_FTS+8K_SUBMISSIONS,,2836,1,2
1296536,Protective Life Secured Trust 2004-35,1,2004-09-17,2004-09-17,,,91,8K_SUBMISSIONS,,6311.0,1,4
1296595,CROSS CANYON ENERGY CORP.,1,2010-02-02,2010-02-02,,,49,8K_FTS+8K_SUBMISSIONS,,1311,1,4
1296865,Protective Life Secured Trust 2004-B,1,2004-10-22,2004-10-22,,,0,8K_SUBMISSIONS,,6311.0,1,1
1296937,"Lazy Days R.V. Center, Inc.",1,2009-11-05,,2009-11-05,,0,LOPUCKI,11,5500,1,1
1297720,James River Coal Company,1,2014-04-07,2014-04-08,2014-04-07,1,1,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1221,1,3
1297785,Protective Life Secured Trust 2004-37,1,2004-09-17,2004-09-17,,,91,8K_SUBMISSIONS,,6311.0,1,4
1299716,U.S. Shipping Partners L.P.,1,2009-04-30,2009-04-30,,,158,8K_FTS+8K_SUBMISSIONS,,4400,1,4
1299966,"Black Raven Energy, Inc.",1,2008-03-12,2008-03-12,,,315,8K_FTS+8K_SUBMISSIONS,,1382.0,1,4
1300699,"Athenex, Inc.",1,2023-05-22,2023-05-22,,,133,8K_FTS+8K_SUBMISSIONS,,2834,1,6
1300729,Protective Life Secured Trust 2004-38,1,2004-09-17,2004-09-17,,,91,8K_SUBMISSIONS,,6311.0,1,4
1300744,SKINS INC.,1,2009-08-17,2009-08-17,,,0,8K_FTS+8K_SUBMISSIONS,,3140,1,2
1301063,"Alpha Natural Resources, Inc.",1,2015-08-03,2015-08-03,2015-08-03,0,359,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11,1221,1,7
1301206,"ECOTALITY, INC.",1,2013-09-17,2013-09-17,,,0,8K_FTS+8K_SUBMISSIONS,,3621,1,2
1301501,"Achaogen, Inc.",1,2019-04-15,2019-04-15,,,0,8K_FTS+8K_SUBMISSIONS,,2834,1,2
1301712,IRONCLAD PERFORMANCE WEAR CORP,1,2017-09-11,2017-09-11,,,157,8K_FTS+8K_SUBMISSIONS,,5090,1,4
1301977,Protective Life Secured Trust 2004-40,1,2004-10-22,2004-10-22,,,56,8K_SUBMISSIONS,,6311.0,1,3
1302331,"China Holdings, Inc.",1,2009-02-17,2009-02-17,,,10,8K_FTS+8K_SUBMISSIONS,,2833,1,4
1302502,Pacific Coast National Bancorp,1,2009-11-17,2009-11-17,,,35,8K_FTS+8K_SUBMISSIONS,,6021,1,4
1302833,Hartford Life Global Funding Trust 2004-001,1,2005-03-24,2005-03-24,,,1645,8K_FTS+8K_SUBMISSIONS,,6189.0,1,12
1302952,Protective Life Secured Trust 2004-C,1,2004-12-17,2004-12-17,,,0,8K_SUBMISSIONS,,6311.0,1,1
1302977,Wornick CO,1,2007-03-20,2007-03-20,,,0,8K_SUBMISSIONS,,2030.0,1,1
1303025,Protective Life Secured Trust 2004-41,1,2004-10-22,2004-10-22,,,56,8K_SUBMISSIONS,,6311.0,1,3
1303565,"Tarpon Industries, Inc.",1,2008-04-30,2008-04-30,,,198,8K_SUBMISSIONS,,3317.0,1,2
1303834,Hartford Life Global Funding Trust 2004-002,1,2005-03-24,2005-03-24,,,0,8K_SUBMISSIONS,,,1,1
